"","percentile","suitability","km2"
"512","51.2%",0.00412974674254656,34567.6068580534
"513","51.3%",0.00415459716459736,34496.7534491719
"514","51.4%",0.00417815546970815,34425.9000402904
"515","51.5%",0.00420354539528489,34355.046631409
"516","51.6%",0.00422760602086782,34284.1932225275
"517","51.7%",0.00425308224512264,34213.339813646
"518","51.8%",0.00427581728436053,34142.4864047645
"519","51.9%",0.00429721688851714,34070.8949395405
"520","52.0%",0.00431828759610653,34000.7795870016
"521","52.1%",0.00434229879174381,33930.6642344626
"522","52.2%",0.00437025157734752,33859.8108255811
"523","52.3%",0.00439547211863101,33788.9574166996
"524","52.4%",0.00442144344560802,33718.1040078181
"525","52.5%",0.00444220390636474,33647.2505989367
"526","52.6%",0.00446510408073664,33576.3971900552
"527","52.7%",0.00449273592093959,33505.5437811737
"528","52.8%",0.00452003721147776,33434.6903722922
"529","52.9%",0.00454727733740583,33363.8369634107
"530","53.0%",0.00457229244057089,33292.9835545292
"531","53.1%",0.00459407308371738,33222.1301456478
"532","53.2%",0.00462251445278525,33151.2767367663
"533","53.3%",0.00464766948716715,33080.4233278848
"534","53.4%",0.00467323251068592,33009.5699190033
"535","53.5%",0.00469755061203614,32938.7165101218
"536","53.6%",0.00471981791779399,32867.8631012403
"537","53.7%",0.00474469017935917,32797.0096923589
"538","53.8%",0.00477228662930429,32726.1562834774
"539","53.9%",0.00479683224111795,32655.3028745959
"540","54.0%",0.00482548773288727,32584.4494657144
"541","54.1%",0.0048479363322258,32512.8580004904
"542","54.2%",0.00487422454170883,32442.7426479515
"543","54.3%",0.00489840012742206,32371.88923907
"544","54.4%",0.00492141023278236,32300.297773846
"545","54.5%",0.00494294357486069,32230.182421307
"546","54.6%",0.00496509412769228,32159.3290124255
"547","54.7%",0.00499119558371604,32088.475603544
"548","54.8%",0.00501646236516535,32017.6221946626
"549","54.9%",0.00503880658652633,31946.7687857811
"550","55.0%",0.00506554066669196,31875.9153768996
